Year,Month,内蒙古自治区,内蒙古自治区 蒙东,内蒙古自治区 蒙西,吉林省,黑龙江省
2017,4,344.8,93.70769492256,251.09230507744002,56.5,70.8
2017,5,351.1,95.41987148292,255.68012851708002,53.7,70.8
2017,6,340.9,92.64777609947998,248.25222390052,54.8,70.2
2017,7,382.2,103.87204466184,278.32795533816,55.9,74.1
2017,8,375.4,102.02398107287999,273.37601892711996,51.8,67.8
2017,9,356.4,96.86027398607999,259.53972601392,49.0,64.4
2017,10,368.1,100.04003045532,268.05996954468003,62.9,75.8
2017,11,362.5,98.51809573499999,263.981904265,70.9,83.8
2017,12,378.3,102.81212583876,275.48787416124003,82.6,91.6
2018,1,396.5945945945946,105.97148838528108,290.6231062093135,82.21621621621621,93.67567567567568
2018,2,337.1054054054054,90.07576512748892,247.02964027791649,69.88378378378378,79.62432432432432
2018,3,396.1,105.83933094781001,290.26066905219,72.5,87.3
2018,4,393.6,105.17132204256,288.42867795744,61.8,80.4
2018,5,415.3,110.96963934013002,304.33036065987,64.1,81.4
2018,6,372.3,99.47988616983001,272.82011383017,59.4,78.4
2018,7,405.9,108.45792585639,297.44207414360994,64.8,79.1
2018,8,424.9,113.53479353629,311.36520646370997,62.9,70.0
2018,9,395.7,105.73244952297,289.96755047703,55.7,69.5
2018,10,419.0,111.9582925199,307.0417074801,64.4,80.6
2018,11,427.7,114.28296351017,313.41703648982997,72.1,88.8
2018,12,433.8,115.91290523898,317.88709476102,82.1,104.1
2019,1,439.5135135135135,115.13333191009188,324.3801816034216,77.72972972972973,96.43243243243244
2019,2,373.5864864864865,97.8633321235781,275.72315436290836,66.07027027027027,81.96756756756757
2019,3,422.3,110.62414367411,311.67585632589,73.3,85.9
2019,4,422.9,110.78131745153,312.11868254846996,67.4,84.1
2019,5,430.0,112.641207151,317.358792849,67.2,87.0
2019,6,441.1,115.54892203327,325.55107796673,68.2,85.2
2019,7,474.6,124.32445793922001,350.27554206078,75.8,85.6
2019,8,471.4,123.48619779298,347.91380220702,75.4,78.4
2019,9,440.5,115.39174825585,325.10825174415,63.8,76.0
2019,10,432.9,113.40088040853,319.49911959147,66.6,84.8
2019,11,448.7,117.53978988059,331.16021011940995,74.6,98.0
2019,12,469.9,123.09326334943,346.80673665057,87.5,105.5
2020,1,450.5405405405405,114.90142546472973,335.63911507581076,84.0,91.99999999999999
2020,2,382.9594594594594,97.66621164502025,285.29324781443916,71.39999999999999,78.19999999999999
2020,3,428.8,109.3569319648,319.4430680352,73.1,90.9
2020,4,436.1,111.21865212185,324.88134787815,71.2,88.0
2020,5,451.3,115.09511053105,336.20488946895,76.8,86.8
2020,6,456.3,116.37026132355,339.92973867645003,74.1,80.3
2020,7,508.6,129.7083386131,378.8916613869,83.3,89.0
2020,8,506.9,129.27478734365,377.62521265634996,78.5,87.8
2020,9,460.7,117.49239402094999,343.20760597905,74.9,76.6
2020,10,483.0,123.1795665555,359.8204334445,74.9,94.1
2020,11,487.3,124.27619623705,363.02380376295,82.9,97.8
2020,12,531.4,135.5230262269,395.87697377309996,90.5,104.5
2021,1,521.7297297297297,129.32367317565405,392.40605655407563,90.27027027027026,103.29729729729729
2021,2,443.4702702702702,109.92512219930593,333.5451480709643,76.72972972972971,87.80270270270269
2021,3,463.2,114.81562579535999,348.38437420464,81.0,96.4
2021,4,470.6,116.64989960988001,353.95010039012004,73.3,89.7
2021,5,473.1,117.26958670938001,355.83041329062,77.2,90.8
2021,6,478.3,118.55853587634,359.74146412366,78.9,93.2
2021,7,524.4,129.98556599111998,394.41443400888,87.4,94.5
2021,8,515.6,127.80426740088001,387.79573259912,71.7,88.9
2021,9,469.8,116.45159973804,353.34840026196,65.0,80.2
2021,10,483.8,119.92184749524,363.87815250476,72.7,90.4
2021,11,494.6,122.59889576508,372.00110423492004,80.9,98.3
2021,12,542.3,134.42252562354,407.87747437646,92.4,108.2
2022,1,544.2702702702702,130.30527409731351,413.9649961729567,92.37837837837837,112.16216216216216
2022,2,462.62972972972966,110.75948298271648,351.8702467470132,78.52162162162162,95.33783783783784
2022,3,517.0,123.77642209790001,393.2235779021,77.9,99.4
2022,4,487.9,116.80950936473,371.09049063527,73.4,86.4
2022,5,511.8,122.53147549266001,389.26852450734,74.9,81.8
2022,6,527.1,126.19449146577001,400.90550853423,70.6,75.6
2022,7,568.6,136.13012302682,432.46987697318,90.8,83.9
2022,8,560.9,134.28664439983,426.61335560016994,79.7,86.1
2022,9,527.3,126.24237402751,401.05762597249,67.8,78.1
2022,10,546.8,130.91092379716,415.88907620284,84.5,98.1
2022,11,545.7,130.64756970759,415.05243029241,91.9,109.3
2022,12,607.6,145.46722256612,462.13277743388005,100.2,120.8
2023,1,595.8918918918919,135.04523981267027,460.8466520792216,97.94594594594594,119.45945945945945
2023,2,506.5081081081081,114.78845384076973,391.71965426733834,83.25405405405404,101.54054054054053
2023,3,581.9,131.87429820114,450.02570179886,94.0,108.5
2023,4,549.7,124.57690620582001,425.12309379418,87.7,96.4
2023,5,564.2,127.86299887452002,436.33700112548,84.6,92.6
2023,6,595.2,134.88843837312,460.31156162688,82.8,84.7
2023,7,655.2,148.48606320912,506.71393679088004,86.9,93.2
2023,8,657.5,149.0073054945,508.4926945055,86.7,96.5
2023,9,615.6,139.51163081736001,476.08836918264,76.2,86.4
2023,10,622.5,141.0753576735,481.4246423265,85.2,97.7
2023,11,654.5,148.3274242527,506.1725757473,98.4,111.4
2023,12,717.8,162.67291845468,555.1270815453199,105.6,126.6
