Year,Month,内蒙古自治区,内蒙古自治区 蒙东,内蒙古自治区 蒙西,吉林省,黑龙江省
2016,2,222.34993783783784,58.02019376151422,164.3297440763236,56.59414864864864,67.67272702702702
2016,3,266.1468,69.44858656209252,196.69821343790747,53.6446,72.4483
2016,4,268.2,69.98435042598,198.21564957402,40.8,62.7
2016,5,270.1,70.48013814339001,199.61986185661002,34.2,53.4
2016,6,277.6,72.43719492264002,205.16280507736002,35.5,56.8
2016,7,300.6,78.43883571234001,222.16116428766003,39.5,61.9
2016,8,304.8,79.53478750872002,225.26521249128,41.6,64.3
2016,9,271.2,70.76717313768,200.43282686231998,38.2,56.5
2016,10,276.1,72.04578356679,204.05421643321,48.1,68.1
2016,11,277.8,72.48938310342001,205.31061689658,59.3,77.8
2016,12,289.7,75.59457985983,214.10542014017,63.4,80.5
2017,1,276.5945945945946,75.17123517256215,201.42335942203243,64.75675675675676,80.1081081081081
2017,2,235.10540540540538,63.89554989667782,171.20985550872757,55.04324324324324,68.09189189189188
2017,3,302.6,82.23882970872,220.36117029128002,57.0,75.2
2017,4,291.5,79.22213767379999,212.27786232620002,42.9,58.3
2017,5,292.8,79.57544394816,213.22455605184,36.5,57.6
2017,6,303.9,82.59213598307998,221.30786401692,38.6,60.6
2017,7,348.1,94.60454931132,253.49545068868002,40.6,64.8
2017,8,341.5,92.81084053379999,248.6891594662,40.3,57.7
2017,9,308.3,83.78794183475999,224.51205816524003,38.2,55.8
2017,10,322.3,87.59277863556,234.70722136444002,51.7,65.9
2017,11,294.3,79.98310503396,214.31689496604002,59.0,74.2
2017,12,320.3,87.04923052116,233.25076947884003,72.1,84.2
2018,1,333.1351351351351,89.01489476877296,244.12024036636214,71.51351351351352,84.16216216216215
2018,2,283.16486486486485,75.66266055345703,207.5022043114078,60.78648648648649,71.53783783783783
2018,3,338.6,90.47512612706001,248.12487387294001,60.7,75.5
2018,4,324.7,86.76099661387,237.93900338612997,46.3,67.8
2018,5,357.1,95.41839202591001,261.68160797409,46.7,70.8
2018,6,325.3,86.92131875113,238.37868124887,45.5,70.5
2018,7,357.9,95.63215487559,262.26784512441,51.0,69.3
2018,8,394.2,105.33164417982,288.86835582018,52.5,61.1
2018,9,335.7,89.70023579697,245.99976420303,42.1,56.3
2018,10,358.7,95.84591772527,262.85408227473,51.9,68.7
2018,11,362.6,96.88801161746001,265.71198838254,59.3,77.1
2018,12,359.5,96.05968057495001,263.44031942505,67.8,88.4
2019,1,373.2972972972973,97.78757719482162,275.5097201024757,66.05405405405405,82.7027027027027
2019,2,317.3027027027027,83.11944061559838,234.1832620871043,56.14594594594594,70.29729729729729
2019,3,354.1,92.75872430737,261.34127569263,60.3,74.2
2019,4,352.5,92.33959423425,260.16040576575,53.4,72.6
2019,5,348.7,91.34416031059,257.35583968941,49.5,73.0
2019,6,384.1,100.61741317837001,283.48258682163,54.2,75.1
2019,7,428.2,112.16968581874,316.03031418126,66.4,78.4
2019,8,425.1,111.35762130207002,313.74237869793,65.5,68.6
2019,9,391.0,102.42491161870001,288.5750883813,52.3,63.2
2019,10,367.7,96.32132992889,271.37867007111,51.4,71.5
2019,11,374.6,98.12882836922,276.47117163078,61.8,82.3
2019,12,392.4,102.79165043268,289.60834956732,75.1,93.2
2020,1,387.13513513513516,98.73113487443244,288.40400026070273,72.48648648648648,79.45945945945945
2020,2,329.0648648648649,83.92146464326757,245.14340022159732,61.61351351351351,67.54054054054053
2020,3,340.4,86.81226595339999,253.5877340466,57.0,78.4
2020,4,361.8,92.2699113453,269.5300886547,51.3,74.6
2020,5,370.6,94.5141767401,276.08582325990005,54.4,73.4
2020,6,390.7,99.64028292594999,291.05971707405,58.4,69.3
2020,7,456.9,116.52327941864999,340.37672058135,73.0,81.4
2020,8,452.9,115.50315878465,337.39684121535,69.0,77.3
2020,9,399.8,101.9610573683,297.8389426317,52.4,62.0
2020,10,400.2,102.0630694317,298.1369305683,58.3,77.0
2020,11,407.0,103.7972745095,303.20272549050003,66.0,80.9
2020,12,438.0,111.70320942299999,326.296790577,74.4,87.9
2021,1,417.4594594594594,103.4776966365081,313.98176282295134,74.91891891891892,88.21621621621621
2021,2,354.8405405405405,87.95604214103187,266.88449839950863,63.68108108108108,74.98378378378378
2021,3,382.2,94.73776377156,287.46223622844,61.1,80.2
2021,4,380.4,94.29158905992,286.10841094008,51.7,71.3
2021,5,375.9,93.17615228081999,282.72384771917996,54.7,72.8
2021,6,403.5,100.0174978593,303.48250214070003,56.1,77.0
2021,7,464.8,115.21222553904,349.58777446096,64.4,82.9
2021,8,452.8,112.23772746144,340.56227253856,54.4,76.3
2021,9,405.8,100.58760999084001,305.21239000916,48.1,66.6
2021,10,404.6,100.29016018308,304.30983981692003,55.5,74.4
2021,11,384.2,95.23351345116,288.96648654884,65.2,81.8
2021,12,421.1,104.38009503978,316.71990496022,76.3,87.0
2022,1,449.7297297297297,107.67105775048648,342.0586719792432,75.83783783783784,91.51351351351352
2022,2,382.2702702702702,91.5203990879135,290.7498711823567,64.46216216216216,77.78648648648648
2022,3,401.1,96.02847756957001,305.07152243043004,55.2,78.8
2022,4,369.0,88.34332641030001,280.6566735897,44.7,63.2
2022,5,404.6,96.86642240002001,307.73357759998,45.5,58.0
2022,6,447.2,107.06540805064,340.13459194936,47.6,58.2
2022,7,488.4,116.92921576908,371.47078423092,59.5,67.4
2022,8,484.0,115.8757994108,368.1242005892,53.4,67.9
2022,9,429.6,102.85174261752,326.74825738248,41.7,57.5
2022,10,439.2,105.15010558104,334.04989441896,53.7,72.6
2022,11,435.2,104.19245434624,331.00754565375996,64.0,86.2
2022,12,467.9,112.02125319073,355.87874680926996,69.2,92.4
2023,1,470.64864864864865,106.66172923157838,363.9869194170703,68.91891891891892,94.16216216216215
2023,2,400.05135135135134,90.66246984684162,309.38888150450975,58.58108108108108,80.03783783783783
2023,3,454.7,103.04733354881999,351.65266645118,58.6,80.2
2023,4,414.6,93.95958761676,320.64041238324,46.2,68.4
2023,5,437.6,99.17201047056001,338.42798952944,47.4,66.4
2023,6,489.6,110.95661866176,378.64338133824003,55.2,66.1
2023,7,553.9,125.52873994434,428.37126005565995,60.9,75.8
2023,8,572.6,129.76666635156002,442.83333364844,63.9,77.3
2023,9,513.2,116.30501776392,396.89498223608007,50.2,65.2
2023,10,504.7,114.37868757881999,390.32131242118,56.3,71.8
2023,11,491.7,111.43253553102,380.26746446898,69.9,86.8
2023,12,571.2,129.44938843872,441.75061156128004,75.0,99.3
